Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
11,527163010,0.4810564716684044,RL,0.3198284369140738,0.20182553929746871,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,TA,TA,PConc,Gd,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,763.0,-0.6049696994198568,GasA,Gd,Y,SBrkr,-1.1378335559266461,892,-0.11764705882352938,0.4683812957052802,0.0,-0.2520334722678233,2,1,3,-0.16559760788883857,TA,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,1.019245175958965,0.9775134276299546,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,WD ,Normal,175900
12,527165230,-1.1612617398535,RL,-0.19153716814302726,-0.24378706787475193,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,TA,Gd,PConc,Gd,TA,No,ALQ,0.9841481154713153,Unf,-0.3689137607610984,233.0,0.31355430879647916,GasA,Ex,Y,SBrkr,0.24439811880722376,0,-0.11764705882352938,-0.5557453950488525,1.0,-0.2520334722678233,2,0,3,-0.16559760788883857,TA,6,Typ,0,,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,1.3584189867758336,0.3286282056094148,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,GdPrv,Shed,5.238950464126866,3,2010,WD ,Normal,185000
13,527166040,0.4810564716684044,RL,-0.23982337629819714,-0.14316564460298697,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,PConc,Gd,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,789.0,-0.5429015521529132,GasA,Gd,Y,SBrkr,-1.0317443213306448,676,-0.11764705882352938,0.09322341380976604,0.0,-0.2520334722678233,2,1,3,-0.16559760788883857,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,-0.9506828398842129,0.9230195055097704,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,180400
14,527180040,-1.1612617398535,RL,0.757432793332796,0.2368253531105635,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,TA,TA,PConc,Gd,TA,Gd,GLQ,0.7368666413085029,Unf,-0.3689137607610984,663.0,0.5948638042672918,GasA,Gd,Y,SBrkr,0.619534211892472,0,-0.11764705882352938,-0.1792832661021759,1.0,-0.2520334722678233,1,1,2,-0.16559760788883857,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,1.082088066468934,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,2,2010,WD ,Normal,171500
15,527182190,1.3480369764281728,RL,-0.3866826538075703,-0.5463934237401173,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,Av,GLQ,0.4189159549019623,BLQ,2.7129202491566318,0.0,0.9837600076417761,GasA,TA,Y,SBrkr,0.9657491739929258,0,-0.11764705882352938,0.17001247863908728,1.0,-0.2520334722678233,1,1,1,-0.16559760788883857,Gd,4,Typ,0,,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,-0.9506828398842129,0.7663334230033417,-0.4309900586356161,-0.11309063567309342,3.2319181909576,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,212000
16,527216070,0.4810564716684044,RL,-1.062988623672977,3.955191778373481,Pave,,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,1.4299736223595374,Ex,TA,PConc,Gd,TA,Gd,ALQ,1.2770667273659553,Unf,-0.3689137607610984,234.0,1.3092706219804982,GasA,Ex,Y,SBrkr,1.3233539889741615,1589,-0.11764705882352938,2.5590917572010707,1.0,-0.2520334722678233,3,1,4,-0.16559760788883857,Ex,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,1.3701341092334247,0.575843993734327,-0.4309900586356161,-0.11309063567309342,3.2319529591162075,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,538000
17,527225035,0.23178037960451875,RL,3.254170537133334,0.5943084282823371,Pave,,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.8005598681826974,Gd,TA,Wood,Gd,TA,Av,GLQ,0.5011830025586945,Unf,-0.3689137607610984,132.0,-1.1120817503795988,GasA,Gd,Y,SBrkr,-0.048007312479767056,672,-0.11764705882352938,0.6433705249734427,0.0,-0.2520334722678233,2,0,4,-0.16559760788883857,TA,8,Typ,0,,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,1.2420946469927936,0.08142637655205978,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,164000
18,527258010,-1.1612617398535,RL,0.8843449336666092,0.46554775461828657,Pave,,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,1.3533695618430652,Gd,TA,PConc,Ex,TA,Av,GLQ,1.2920957632088137,Unf,-0.3689137607610984,411.0,1.7121120867970896,GasA,Ex,Y,SBrkr,1.6056597671601534,0,-0.11764705882352938,0.8203841817325582,1.0,-0.2520334722678233,1,1,1,-0.16559760788883857,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,0.9145819089678673,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,New,Partial,394432
19,527276150,-1.1612617398535,RL,2.848761666843007,1.558682615632165,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,LwQ,-0.11830708202913297,Unf,-0.3689137607610984,744.0,-0.36658587656222497,GasA,Ex,Y,SBrkr,-0.7453092507633892,0,-0.11764705882352938,-1.5391022021892657,0.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,4,Typ,0,,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,141000
20,527302110,-1.1612617398535,RL,0.757432793332796,0.7643273072247156,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,1.1648214631976352,TA,TA,CBlock,Gd,TA,No,ALQ,0.8729000753706627,Rec,2.7111637771175836,589.0,1.093185603418144,GasA,TA,Y,SBrkr,1.9367712370780379,0,-0.11764705882352938,1.1593751059102404,1.0,-0.2520334722678233,2,0,3,-0.16559760788883857,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,1.2632724985363273,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,2,2010,WD ,Normal,210000
21,527358140,-1.1612617398535,RL,1.5710577267056658,0.5285471400024503,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,1.3991870109410147,TA,TA,CBlock,Gd,TA,No,BLQ,0.8001314981092629,Unf,-0.3689137607610984,1139.0,1.6889573128481197,GasA,Ex,Y,SBrkr,1.5861671519790577,0,-0.11764705882352938,0.800480512744357,0.0,-0.2520334722678233,2,0,3,-0.16559760788883857,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,-0.9506828398842129,1.1584352283066686,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,1,2010,COD,Normal,190000
22,527358200,0.932332671019325,RL,0.757432793332796,0.3237837203641019,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,1.083797630802069,TA,TA,CBlock,Gd,TA,Gd,GLQ,0.9473953191904677,LwQ,2.7112436400576962,0.0,0.06206284343016273,GasA,TA,Y,SBrkr,0.20776498489949635,0,-0.11764705882352938,-0.5923968359507933,1.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,-0.9506828398842129,1.1503764782181887,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,1,2010,WD ,Family,170000
23,527368020,0.4810564716684044,FV,0.20659111803008245,-0.3640316980169106,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,No,GLQ,0.6291732266059172,Unf,-0.3689137607610984,281.0,-0.48369140030956936,GasA,Ex,Y,SBrkr,-0.9331724177818068,860,-0.11764705882352938,0.5034635518532548,1.0,-0.2520334722678233,2,1,3,-0.16559760788883857,Gd,7,Typ,0,,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,-0.9506828398842129,1.0419940134157148,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,1,2010,WD ,Normal,216000
24,527402200,-1.1612617398535,RL,0.22937064383143002,0.4380206233696207,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.2434873122696342,TA,TA,CBlock,TA,TA,No,ALQ,0.677600230840745,Unf,-0.3689137607610984,426.0,-0.047115185644968874,GasA,Ex,Y,SBrkr,-0.27500404999091194,0,-0.11764705882352938,-1.0735777310692085,1.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,Shed,5.238950464138707,3,2010,WD ,Normal,149000
25,527402250,-1.1612617398535,RL,0.22937064383143002,0.6615807405389841,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,GLQ,0.8256845270951858,Unf,-0.3689137607610984,344.0,0.117284565449886,GasA,Ex,Y,SBrkr,-0.05376122951309112,0,-0.11764705882352938,-0.8534834184957025,1.0,-0.2520334722678233,1,1,3,-0.16559760788883857,TA,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,WD ,Normal,149900
26,527403020,-1.1612617398535,RL,-0.14357213275236988,-0.13200092119569948,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,BLQ,0.860513170835084,Unf,-0.3689137607610984,281.0,0.06870627038044848,GasA,Ex,Y,SBrkr,-0.11781154115441957,0,-0.11764705882352938,-0.9172741674562594,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,-0.9506828398842129,0.983216387029939,2.324845310912014,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,7,2010,WD ,Normal,142000
27,527404120,-1.1612617398535,RL,0.09167031454663827,-0.14363204526880297,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,ALQ,0.8842984223395517,Rec,2.707629552311966,0.0,-0.3248376889672786,GasA,TA,Y,SBrkr,-0.6804849176372019,0,-0.11764705882352938,-1.4751245384682747,1.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,4,Typ,0,,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,1.1506918079873232,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,4,2010,WD ,Normal,126000
28,527425090,-1.1612617398535,RL,0.09167031454663827,0.2999011704552885,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,ALQ,0.5077425154058431,Unf,-0.3689137607610984,432.0,-0.36658587656222497,GasA,TA,Y,SBrkr,-0.7453092507633892,0,-0.11764705882352938,-1.5391022021892657,0.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,5,Typ,1,Po,,0.0,,0.0,0.0,,,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,ConLI,Normal,115000
29,527427230,1.3480369764281728,RH,-2.356705559269477,-0.8335090507978302,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,No,GLQ,1.0639051864084565,BLQ,-0.3689137607610984,354.0,0.8136468806074617,GasA,Ex,Y,SBrkr,0.610380400461514,0,-0.11764705882352938,-0.18849424241784057,1.0,-0.2520334722678233,2,0,2,-0.16559760788883857,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,1.0993218350837979,0.8760828842577738,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,184000
30,527451180,1.67232170145664,RM,-2.7245073086139726,-2.9896356048735555,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,1.4059288871896776,TA,TA,CBlock,TA,TA,No,Rec,-0.004702479474727034,Unf,-0.3689137607610984,327.0,-1.31214878775369,GasA,TA,Y,SBrkr,-2.6067682462750406,504,-0.11764705882352938,-1.126464060127514,0.0,-0.2520334722678233,1,1,2,-0.16559760788883857,TA,5,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,1.1919894600344387,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,2,2010,COD,Normal,96000
31,527451330,1.67232170145664,RM,-2.7245073086139726,-2.9896356048735555,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,1.4026099646413328,TA,TA,CBlock,TA,TA,No,Rec,0.3103641530087687,Unf,-0.3689137607610984,225.0,-1.2007045379002146,GasA,TA,Y,SBrkr,-2.335927548742983,567,-0.11764705882352938,-0.8135734445511426,0.0,-0.2520334722678233,1,1,3,-0.16559760788883857,TA,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,3,2010,WD ,Normal,105500
